date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:07	29044/29044	---MCZ	200	added ('OK')	application/font-woff	etag:%224d7fd7608d96357c4c8960e32e528b9d-ssl-df%22	https://ippro.netlify.app/fonts/flaticon.woff	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/flaticon.woff	(from https://ippro.netlify.app/css/flaticon.css)
15:47:08	45592/45592	---M--	200	added ('OK')	font/ttf	etag:%225e47a4c8187ae61ae487c1222ff1a06e-ssl%22	https://ippro.netlify.app/fonts/flaticon.ttf	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/flaticon.ttf	(from https://ippro.netlify.app/css/flaticon.css)
15:47:08	317999/317999	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d31959d92df6eac56d6cbfb13729f4a8-ssl-df%22	https://ippro.netlify.app/fonts/flaticon.svg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/fonts/flaticon.svg	(from https://ippro.netlify.app/css/flaticon.css)
15:47:10	35840/35840	---MCZ	200	added ('OK')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/owl.video.play.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/owl.video.play.html	(from https://ippro.netlify.app/css/owl.css)
15:47:10	7006/7006	---M--	200	added ('OK')	image/png	etag:%2212697a87a6ba661904148d1b9b09a188-ssl%22	https://ippro.netlify.app/css/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/images/ui-icons_444444_256x240.png	(from https://ippro.netlify.app/css/jquery-ui.css)
15:47:11	35840/35840	---MCZ	200	added ('OK')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/images/ui-icons_777620_256x240.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/images/ui-icons_777620_256x240.html	(from https://ippro.netlify.app/css/jquery-ui.css)
15:47:11	35840/35840	---MCZ	200	added ('OK')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/images/ui-icons_cc0000_256x240.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/images/ui-icons_cc0000_256x240.html	(from https://ippro.netlify.app/css/jquery-ui.css)
15:47:12	35840/35840	---MCZ	200	added ('OK')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/images/ui-icons_777777_256x240.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/images/ui-icons_777777_256x240.html	(from https://ippro.netlify.app/css/jquery-ui.css)
15:47:13	7491/7491	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/mCSB_buttons.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/mCSB_buttons.6c.delayed	(from https://ippro.netlify.app/css/jquery.mCustomScrollbar.min.css)
15:47:14	35840/35840	---MCZ	200	added ('OK')	text/html	etag:%22b62fccfbd16022f78fd94539d3b1816e-ssl-df%22	https://ippro.netlify.app/css/mcsb_buttons	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/mcsb_buttons.html	(from https://ippro.netlify.app/css/jquery.mCustomScrollbar.min.css)
